,checkpoint_diff,vaccine_diff,election_diff,census_diff
913,ZZZZ,ZZZZ,natick_ma,ZZZZ
914,ZZZZ,ZZZZ,ayer_ma,ZZZZ
915,ZZZZ,ZZZZ,sterling_ct,ZZZZ
916,ZZZZ,ZZZZ,bar harbor_me,ZZZZ
917,ZZZZ,ZZZZ,pittsfield_me,ZZZZ
918,ZZZZ,ZZZZ,levant_me,ZZZZ
919,ZZZZ,ZZZZ,pembroke_ma,ZZZZ
920,ZZZZ,ZZZZ,new sweden_me,ZZZZ
921,ZZZZ,ZZZZ,mattapoisett_ma,ZZZZ
922,ZZZZ,ZZZZ,holland_ma,ZZZZ
923,ZZZZ,ZZZZ,westhampton_ma,ZZZZ
924,ZZZZ,ZZZZ,hammond_me,ZZZZ
925,ZZZZ,ZZZZ,perry_me,ZZZZ
926,ZZZZ,ZZZZ,ed 40_ak,ZZZZ
927,ZZZZ,ZZZZ,west stockbridge_ma,ZZZZ
928,ZZZZ,ZZZZ,highland plt._me,ZZZZ
929,ZZZZ,ZZZZ,bremen_me,ZZZZ
930,ZZZZ,ZZZZ,coventry_vt,ZZZZ
931,ZZZZ,ZZZZ,alstead_nh,ZZZZ
932,ZZZZ,ZZZZ,nashville plt._me,ZZZZ
933,ZZZZ,ZZZZ,woodville_me,ZZZZ
934,ZZZZ,ZZZZ,maidstone_vt,ZZZZ
935,ZZZZ,ZZZZ,marlborough_ct,ZZZZ
936,ZZZZ,ZZZZ,berkley_ma,ZZZZ
937,ZZZZ,ZZZZ,harvard_ma,ZZZZ
938,ZZZZ,ZZZZ,minot_me,ZZZZ
939,ZZZZ,ZZZZ,huntington_vt,ZZZZ
940,ZZZZ,ZZZZ,roque bluffs_me,ZZZZ
941,ZZZZ,ZZZZ,lebanon_me,ZZZZ
942,ZZZZ,ZZZZ,dighton_ma,ZZZZ
943,ZZZZ,ZZZZ,seboeis plt._me,ZZZZ
944,ZZZZ,ZZZZ,exeter_nh,ZZZZ
945,ZZZZ,ZZZZ,rutland_ma,ZZZZ
946,ZZZZ,ZZZZ,portland_ct,ZZZZ
947,ZZZZ,ZZZZ,anson_me,ZZZZ
948,ZZZZ,ZZZZ,thetford_vt,ZZZZ
949,ZZZZ,ZZZZ,ellington_ct,ZZZZ
950,ZZZZ,ZZZZ,east longmeadow_ma,ZZZZ
951,ZZZZ,ZZZZ,barnard_vt,ZZZZ
952,ZZZZ,ZZZZ,aroostook cty townships_me,ZZZZ
953,ZZZZ,ZZZZ,frenchboro_me,ZZZZ
954,ZZZZ,ZZZZ,plainville_ct,ZZZZ
955,ZZZZ,ZZZZ,templeton_ma,ZZZZ
956,ZZZZ,ZZZZ,bloomfield_ct,ZZZZ
957,ZZZZ,ZZZZ,alexander_me,ZZZZ
958,ZZZZ,ZZZZ,north smithfield_ri,ZZZZ
959,ZZZZ,ZZZZ,roxbury_vt,ZZZZ
960,ZZZZ,ZZZZ,cummington_ma,ZZZZ
961,ZZZZ,ZZZZ,windsor_ma,ZZZZ
962,ZZZZ,ZZZZ,dover_nh,ZZZZ
963,ZZZZ,ZZZZ,ludlow_me,ZZZZ
964,ZZZZ,ZZZZ,sidney_me,ZZZZ
965,ZZZZ,ZZZZ,marshfield_me,ZZZZ
966,ZZZZ,ZZZZ,fairlee_vt,ZZZZ
967,ZZZZ,ZZZZ,smithfield_ri,ZZZZ
968,ZZZZ,ZZZZ,monroe_me,ZZZZ
969,ZZZZ,ZZZZ,lincolnville_me,ZZZZ
970,ZZZZ,ZZZZ,reed plt._me,ZZZZ
971,ZZZZ,ZZZZ,middlefield_ma,ZZZZ
972,ZZZZ,ZZZZ,millis_ma,ZZZZ
973,ZZZZ,ZZZZ,st. johnsbury_vt,ZZZZ
974,ZZZZ,ZZZZ,vershire_vt,ZZZZ
975,ZZZZ,ZZZZ,clinton_ct,ZZZZ
976,ZZZZ,ZZZZ,kennebunkport_me,ZZZZ
977,ZZZZ,ZZZZ,tewksbury_ma,ZZZZ
978,ZZZZ,ZZZZ,unity_nh,ZZZZ
979,ZZZZ,ZZZZ,plymouth_nh,ZZZZ
980,ZZZZ,ZZZZ,bradford_nh,ZZZZ
981,ZZZZ,ZZZZ,pelham_nh,ZZZZ
982,ZZZZ,ZZZZ,wilton_ct,ZZZZ
983,ZZZZ,ZZZZ,old lyme_ct,ZZZZ
984,ZZZZ,ZZZZ,frye island_me,ZZZZ
985,ZZZZ,ZZZZ,new britain_ct,ZZZZ
986,ZZZZ,ZZZZ,blue hill_me,ZZZZ
987,ZZZZ,ZZZZ,auburn_ma,ZZZZ
988,ZZZZ,ZZZZ,brewer_me,ZZZZ
989,ZZZZ,ZZZZ,wilmot_nh,ZZZZ
990,ZZZZ,ZZZZ,haverhill_nh,ZZZZ
991,ZZZZ,ZZZZ,norridgewock_me,ZZZZ
992,ZZZZ,ZZZZ,bath_nh,ZZZZ
993,ZZZZ,ZZZZ,easton_ct,ZZZZ
994,ZZZZ,ZZZZ,union_me,ZZZZ
995,ZZZZ,ZZZZ,winhall_vt,ZZZZ
996,ZZZZ,ZZZZ,walpole_nh,ZZZZ
997,ZZZZ,ZZZZ,kensington_nh,ZZZZ
998,ZZZZ,ZZZZ,egremont_ma,ZZZZ
999,ZZZZ,ZZZZ,danville_nh,ZZZZ
1000,ZZZZ,ZZZZ,merrill_me,ZZZZ
1001,ZZZZ,ZZZZ,frankfort_me,ZZZZ
1002,ZZZZ,ZZZZ,gray_me,ZZZZ
1003,ZZZZ,ZZZZ,sheffield_ma,ZZZZ
1004,ZZZZ,ZZZZ,springfield_me,ZZZZ
1005,ZZZZ,ZZZZ,newmarket_nh,ZZZZ
1006,ZZZZ,ZZZZ,lovell_me,ZZZZ
1007,ZZZZ,ZZZZ,thorndike_me,ZZZZ
1008,ZZZZ,ZZZZ,south portland_me,ZZZZ
1009,ZZZZ,ZZZZ,somerset_ma,ZZZZ
1010,ZZZZ,ZZZZ,northborough_ma,ZZZZ
1011,ZZZZ,ZZZZ,west brookfield_ma,ZZZZ
1012,ZZZZ,ZZZZ,hollis_me,ZZZZ
1013,ZZZZ,ZZZZ,gilford_nh,ZZZZ
1014,ZZZZ,ZZZZ,whately_ma,ZZZZ
1015,ZZZZ,ZZZZ,meddybemps_me,ZZZZ
1016,ZZZZ,ZZZZ,goffstown_nh,ZZZZ
1017,ZZZZ,ZZZZ,groton_ma,ZZZZ
1018,ZZZZ,ZZZZ,searsport_me,ZZZZ
1019,ZZZZ,ZZZZ,ossipee_nh,ZZZZ
1020,ZZZZ,ZZZZ,wallagrass_me,ZZZZ
1021,ZZZZ,ZZZZ,charleston_vt,ZZZZ
1022,ZZZZ,ZZZZ,fairhaven_ma,ZZZZ
1023,ZZZZ,ZZZZ,proctor_vt,ZZZZ
1024,ZZZZ,ZZZZ,stockbridge_ma,ZZZZ
1025,ZZZZ,ZZZZ,salisbury_ct,ZZZZ
1026,ZZZZ,ZZZZ,warren_nh,ZZZZ
1027,ZZZZ,ZZZZ,warwick_ri,ZZZZ
1028,ZZZZ,ZZZZ,newbury_nh,ZZZZ
1029,ZZZZ,ZZZZ,limerick_me,ZZZZ
1030,ZZZZ,ZZZZ,lamoine_me,ZZZZ
1031,ZZZZ,ZZZZ,manchester_ma,ZZZZ
1032,ZZZZ,ZZZZ,brooklin_me,ZZZZ
1033,ZZZZ,ZZZZ,shelburne_ma,ZZZZ
1034,ZZZZ,ZZZZ,marlow_nh,ZZZZ
1035,ZZZZ,ZZZZ,east millinocket_me,ZZZZ
1036,ZZZZ,ZZZZ,granville_vt,ZZZZ
1037,ZZZZ,ZZZZ,westmanland_me,ZZZZ
1038,ZZZZ,ZZZZ,patten_me,ZZZZ
1039,ZZZZ,ZZZZ,winchester_ct,ZZZZ
1040,ZZZZ,ZZZZ,eaton_nh,ZZZZ
1041,ZZZZ,ZZZZ,spencer_ma,ZZZZ
1042,ZZZZ,ZZZZ,antrim_nh,ZZZZ
1043,ZZZZ,ZZZZ,south thomaston_me,ZZZZ
1044,ZZZZ,ZZZZ,brookline_nh,ZZZZ
1045,ZZZZ,ZZZZ,oxford cty townships_me,ZZZZ
1046,ZZZZ,ZZZZ,do�a ana_nm,ZZZZ
1047,ZZZZ,ZZZZ,lee_me,ZZZZ
1048,ZZZZ,ZZZZ,lewiston_me,ZZZZ
1049,ZZZZ,ZZZZ,lisbon_ct,ZZZZ
1050,ZZZZ,ZZZZ,warren_vt,ZZZZ
1051,ZZZZ,ZZZZ,avon_ma,ZZZZ
1052,ZZZZ,ZZZZ,chelsea_me,ZZZZ
1053,ZZZZ,ZZZZ,carrabassett valley_me,ZZZZ
1054,ZZZZ,ZZZZ,warner_nh,ZZZZ
1055,ZZZZ,ZZZZ,plainfield_nh,ZZZZ
1056,ZZZZ,ZZZZ,central falls_ri,ZZZZ
1057,ZZZZ,ZZZZ,hopkinton_ri,ZZZZ
1058,ZZZZ,ZZZZ,jericho_vt,ZZZZ
1059,ZZZZ,ZZZZ,north andover_ma,ZZZZ
1060,ZZZZ,ZZZZ,east haven_ct,ZZZZ
1061,ZZZZ,ZZZZ,wellesley_ma,ZZZZ
1062,ZZZZ,ZZZZ,northfield_me,ZZZZ
1063,ZZZZ,ZZZZ,columbia_ct,ZZZZ
1064,ZZZZ,ZZZZ,lyman_me,ZZZZ
1065,ZZZZ,ZZZZ,charlestown_ri,ZZZZ
1066,ZZZZ,ZZZZ,hatfield_ma,ZZZZ
1067,ZZZZ,ZZZZ,warren_ma,ZZZZ
1068,ZZZZ,ZZZZ,goshen_nh,ZZZZ
1069,ZZZZ,ZZZZ,agawam_ma,ZZZZ
1070,ZZZZ,ZZZZ,hill_nh,ZZZZ
1071,ZZZZ,ZZZZ,orland_me,ZZZZ
1072,ZZZZ,ZZZZ,southwest harbor_me,ZZZZ
1073,ZZZZ,ZZZZ,chichester_nh,ZZZZ
1074,ZZZZ,ZZZZ,charlestown_nh,ZZZZ
1075,ZZZZ,ZZZZ,hamlin_me,ZZZZ
1076,ZZZZ,ZZZZ,lebanon_ct,ZZZZ
1077,ZZZZ,ZZZZ,grafton_ma,ZZZZ
1078,ZZZZ,ZZZZ,westminster_ma,ZZZZ
1079,ZZZZ,ZZZZ,weston_me,ZZZZ
1080,ZZZZ,ZZZZ,sumner_me,ZZZZ
1081,ZZZZ,ZZZZ,hampton_nh,ZZZZ
1082,ZZZZ,ZZZZ,fair haven_vt,ZZZZ
1083,ZZZZ,ZZZZ,newport_vt,ZZZZ
1084,ZZZZ,ZZZZ,mount desert_me,ZZZZ
1085,ZZZZ,ZZZZ,royalton_vt,ZZZZ
1086,ZZZZ,ZZZZ,hanson_ma,ZZZZ
1087,ZZZZ,ZZZZ,griswold_ct,ZZZZ
1088,ZZZZ,ZZZZ,watertown_ma,ZZZZ
1089,ZZZZ,ZZZZ,islesboro_me,ZZZZ
1090,ZZZZ,ZZZZ,sebago_me,ZZZZ
1091,ZZZZ,ZZZZ,west newbury_ma,ZZZZ
1092,ZZZZ,ZZZZ,west hartford_ct,ZZZZ
1093,ZZZZ,ZZZZ,littleton_me,ZZZZ
1094,ZZZZ,ZZZZ,groton_vt,ZZZZ
1095,ZZZZ,ZZZZ,troy_nh,ZZZZ
1096,ZZZZ,ZZZZ,bowdoin_me,ZZZZ
1097,ZZZZ,ZZZZ,ipswich_ma,ZZZZ
1098,ZZZZ,ZZZZ,newton_ma,ZZZZ
1099,ZZZZ,ZZZZ,brandon_vt,ZZZZ
1100,ZZZZ,ZZZZ,hartford_me,ZZZZ
1101,ZZZZ,ZZZZ,preston_ct,ZZZZ
1102,ZZZZ,ZZZZ,new portland_me,ZZZZ
1103,ZZZZ,ZZZZ,revere_ma,ZZZZ
1104,ZZZZ,ZZZZ,kennebunk_me,ZZZZ
1105,ZZZZ,ZZZZ,easthampton_ma,ZZZZ
1106,ZZZZ,ZZZZ,ed 1_ak,ZZZZ
1107,ZZZZ,ZZZZ,manchester_vt,ZZZZ
1108,ZZZZ,ZZZZ,barnet_vt,ZZZZ
1109,ZZZZ,ZZZZ,leominster_ma,ZZZZ
1110,ZZZZ,ZZZZ,wilton_me,ZZZZ
1111,ZZZZ,ZZZZ,landgrove_vt,ZZZZ
1112,ZZZZ,ZZZZ,chesterfield_ma,ZZZZ
1113,ZZZZ,ZZZZ,hancock_vt,ZZZZ
1114,ZZZZ,ZZZZ,alton_me,ZZZZ
1115,ZZZZ,ZZZZ,cornish_nh,ZZZZ
1116,ZZZZ,ZZZZ,harts location_nh,ZZZZ
1117,ZZZZ,ZZZZ,brentwood_nh,ZZZZ
1118,ZZZZ,ZZZZ,raymond_nh,ZZZZ
1119,ZZZZ,ZZZZ,wolfeboro_nh,ZZZZ
1120,ZZZZ,ZZZZ,oak bluffs_ma,ZZZZ
1121,ZZZZ,ZZZZ,canterbury_nh,ZZZZ
1122,ZZZZ,ZZZZ,troy_vt,ZZZZ
1123,ZZZZ,ZZZZ,swanzey_nh,ZZZZ
1124,ZZZZ,ZZZZ,somerville_me,ZZZZ
1125,ZZZZ,ZZZZ,sandwich_ma,ZZZZ
1126,ZZZZ,ZZZZ,monkton_vt,ZZZZ
1127,ZZZZ,ZZZZ,norwich_ct,ZZZZ
1128,ZZZZ,ZZZZ,sanford_me,ZZZZ
1129,ZZZZ,ZZZZ,whitman_ma,ZZZZ
1130,ZZZZ,ZZZZ,windsor_me,ZZZZ
1131,ZZZZ,ZZZZ,plaistow_nh,ZZZZ
1132,ZZZZ,ZZZZ,wenham_ma,ZZZZ
1133,ZZZZ,ZZZZ,westerly_ri,ZZZZ
1134,ZZZZ,ZZZZ,taunton_ma,ZZZZ
1135,ZZZZ,ZZZZ,brookline_ma,ZZZZ
1136,ZZZZ,ZZZZ,wentworth_nh,ZZZZ
1137,ZZZZ,ZZZZ,winooski_vt,ZZZZ
1138,ZZZZ,ZZZZ,mansfield_ma,ZZZZ
1139,ZZZZ,ZZZZ,bristol_ct,ZZZZ
1140,ZZZZ,ZZZZ,new bedford_ma,ZZZZ
1141,ZZZZ,ZZZZ,willimantic_me,ZZZZ
1142,ZZZZ,ZZZZ,benton_nh,ZZZZ
1143,ZZZZ,ZZZZ,mapleton_me,ZZZZ
1144,ZZZZ,ZZZZ,st. albans town_vt,ZZZZ
1145,ZZZZ,ZZZZ,west bath_me,ZZZZ
1146,ZZZZ,ZZZZ,bradford_vt,ZZZZ
1147,ZZZZ,ZZZZ,swanton_vt,ZZZZ
1148,ZZZZ,ZZZZ,brockton_ma,ZZZZ
1149,ZZZZ,ZZZZ,boothbay_me,ZZZZ
1150,ZZZZ,ZZZZ,etna_me,ZZZZ
1151,ZZZZ,ZZZZ,ed 12_ak,ZZZZ
1152,ZZZZ,ZZZZ,windsor_nh,ZZZZ
1153,ZZZZ,ZZZZ,chester_ct,ZZZZ
1154,ZZZZ,ZZZZ,wellfleet_ma,ZZZZ
1155,ZZZZ,ZZZZ,meredith_nh,ZZZZ
1156,ZZZZ,ZZZZ,ledyard_ct,ZZZZ
1157,ZZZZ,ZZZZ,hadley_ma,ZZZZ
1158,ZZZZ,ZZZZ,lynnfield_ma,ZZZZ
1159,ZZZZ,ZZZZ,hollis_nh,ZZZZ
1160,ZZZZ,ZZZZ,parsonsfield_me,ZZZZ
1161,ZZZZ,ZZZZ,otisfield_me,ZZZZ
1162,ZZZZ,ZZZZ,stoughton_ma,ZZZZ
1163,ZZZZ,ZZZZ,carroll plt._me,ZZZZ
1164,ZZZZ,ZZZZ,plymouth_me,ZZZZ
1165,ZZZZ,ZZZZ,brunswick_me,ZZZZ
1166,ZZZZ,ZZZZ,monmouth_me,ZZZZ
1167,ZZZZ,ZZZZ,peru_ma,ZZZZ
1168,ZZZZ,ZZZZ,harrisville_nh,ZZZZ
1169,ZZZZ,ZZZZ,reading_ma,ZZZZ
1170,ZZZZ,ZZZZ,holland_vt,ZZZZ
1171,ZZZZ,ZZZZ,charlotte_me,ZZZZ
1172,ZZZZ,ZZZZ,shirley_me,ZZZZ
1173,ZZZZ,ZZZZ,calais_vt,ZZZZ
1174,ZZZZ,ZZZZ,burlington_ct,ZZZZ
1175,ZZZZ,ZZZZ,nashua_nh,ZZZZ
1176,ZZZZ,ZZZZ,machias_me,ZZZZ
1177,ZZZZ,ZZZZ,ashfield_ma,ZZZZ
1178,ZZZZ,ZZZZ,andover_nh,ZZZZ
1179,ZZZZ,ZZZZ,wethersfield_ct,ZZZZ
1180,ZZZZ,ZZZZ,hermon_me,ZZZZ
1181,ZZZZ,ZZZZ,stetson_me,ZZZZ
1182,ZZZZ,ZZZZ,cary plt._me,ZZZZ
1183,ZZZZ,ZZZZ,st. albans_vt,ZZZZ
1184,ZZZZ,ZZZZ,woodbury_ct,ZZZZ
1185,ZZZZ,ZZZZ,becket_ma,ZZZZ
1186,ZZZZ,ZZZZ,limington_me,ZZZZ
1187,ZZZZ,ZZZZ,bolton_vt,ZZZZ
1188,ZZZZ,ZZZZ,north haven_me,ZZZZ
1189,ZZZZ,ZZZZ,charlemont_ma,ZZZZ
1190,ZZZZ,ZZZZ,portsmouth_ri,ZZZZ
1191,ZZZZ,ZZZZ,morris_ct,ZZZZ
1192,ZZZZ,ZZZZ,sudbury_vt,ZZZZ
1193,ZZZZ,ZZZZ,benson_vt,ZZZZ
1194,ZZZZ,ZZZZ,tyngsborough_ma,ZZZZ
1195,ZZZZ,ZZZZ,derby_vt,ZZZZ
1196,ZZZZ,ZZZZ,falmouth_me,ZZZZ
1197,ZZZZ,ZZZZ,ashburnham_ma,ZZZZ
1198,ZZZZ,ZZZZ,windham_me,ZZZZ
1199,ZZZZ,ZZZZ,waterbury_ct,ZZZZ
1200,ZZZZ,ZZZZ,rye_nh,ZZZZ
1201,ZZZZ,ZZZZ,truro_ma,ZZZZ
1202,ZZZZ,ZZZZ,tamworth_nh,ZZZZ
1203,ZZZZ,ZZZZ,dummerston_vt,ZZZZ
1204,ZZZZ,ZZZZ,acworth_nh,ZZZZ
1205,ZZZZ,ZZZZ,montgomery_vt,ZZZZ
1206,ZZZZ,ZZZZ,millbury_ma,ZZZZ
1207,ZZZZ,ZZZZ,springfield_vt,ZZZZ
1208,ZZZZ,ZZZZ,dennistown plt._me,ZZZZ
1209,ZZZZ,ZZZZ,washington_ma,ZZZZ
1210,ZZZZ,ZZZZ,berlin_nh,ZZZZ
1211,ZZZZ,ZZZZ,winthrop_ma,ZZZZ
1212,ZZZZ,ZZZZ,westminster_vt,ZZZZ
1213,ZZZZ,ZZZZ,rome_me,ZZZZ
1214,ZZZZ,ZZZZ,monterey_ma,ZZZZ
1215,ZZZZ,ZZZZ,littleton_nh,ZZZZ
1216,ZZZZ,ZZZZ,new sharon_me,ZZZZ
1217,ZZZZ,ZZZZ,middletown springs_vt,ZZZZ
1218,ZZZZ,ZZZZ,bangor_me,ZZZZ
1219,ZZZZ,ZZZZ,east lyme_ct,ZZZZ
1220,ZZZZ,ZZZZ,scituate_ri,ZZZZ
1221,ZZZZ,ZZZZ,dyer brook_me,ZZZZ
1222,ZZZZ,ZZZZ,dover_ma,ZZZZ
1223,ZZZZ,ZZZZ,dixfield_me,ZZZZ
1224,ZZZZ,ZZZZ,belmont_ma,ZZZZ
1225,ZZZZ,ZZZZ,monhegan plt._me,ZZZZ
1226,ZZZZ,ZZZZ,north hampton_nh,ZZZZ
1227,ZZZZ,ZZZZ,monticello_me,ZZZZ
1228,ZZZZ,ZZZZ,wentworth's location_nh,ZZZZ
1229,ZZZZ,ZZZZ,harrison_me,ZZZZ
1230,ZZZZ,ZZZZ,lakeville_me,ZZZZ
1231,ZZZZ,ZZZZ,prospect_ct,ZZZZ
1232,ZZZZ,ZZZZ,surry_nh,ZZZZ
1233,ZZZZ,ZZZZ,marshfield_ma,ZZZZ
1234,ZZZZ,ZZZZ,bakersfield_vt,ZZZZ
1235,ZZZZ,ZZZZ,haddam_ct,ZZZZ
1236,ZZZZ,ZZZZ,nelson_nh,ZZZZ
1237,ZZZZ,ZZZZ,lexington_ma,ZZZZ
1238,ZZZZ,ZZZZ,whitefield_me,ZZZZ
1239,ZZZZ,ZZZZ,townsend_ma,ZZZZ
1240,ZZZZ,ZZZZ,thomaston_me,ZZZZ
1241,ZZZZ,ZZZZ,lee_nh,ZZZZ
1242,ZZZZ,ZZZZ,epping_nh,ZZZZ
1243,ZZZZ,ZZZZ,brooksville_me,ZZZZ
1244,ZZZZ,ZZZZ,whiting_me,ZZZZ
1245,ZZZZ,ZZZZ,hamilton_ma,ZZZZ
1246,ZZZZ,ZZZZ,the forks plt._me,ZZZZ
1247,ZZZZ,ZZZZ,mattawamkeag_me,ZZZZ
1248,ZZZZ,ZZZZ,south hadley_ma,ZZZZ
1249,ZZZZ,ZZZZ,new canada_me,ZZZZ
1250,ZZZZ,ZZZZ,williamstown_ma,ZZZZ
1251,ZZZZ,ZZZZ,oxbow plt._me,ZZZZ
1252,ZZZZ,ZZZZ,north haven_ct,ZZZZ
1253,ZZZZ,ZZZZ,topsfield_ma,ZZZZ
1254,ZZZZ,ZZZZ,freedom_nh,ZZZZ
1255,ZZZZ,ZZZZ,guildhall_vt,ZZZZ
1256,ZZZZ,ZZZZ,wilbraham_ma,ZZZZ
1257,ZZZZ,ZZZZ,bridport_vt,ZZZZ
1258,ZZZZ,ZZZZ,hooksett_nh,ZZZZ
1259,ZZZZ,ZZZZ,surry_me,ZZZZ
1260,ZZZZ,ZZZZ,dummer_nh,ZZZZ
1261,ZZZZ,ZZZZ,windham_nh,ZZZZ
1262,ZZZZ,ZZZZ,portsmouth_nh,ZZZZ
1263,ZZZZ,ZZZZ,newfield_me,ZZZZ
1264,ZZZZ,ZZZZ,west paris_me,ZZZZ
1265,ZZZZ,ZZZZ,glenwood plt._me,ZZZZ
1266,ZZZZ,ZZZZ,bridgewater_ma,ZZZZ
1267,ZZZZ,ZZZZ,st. john plt._me,ZZZZ
1268,ZZZZ,ZZZZ,columbia falls_me,ZZZZ
1269,ZZZZ,ZZZZ,litchfield_me,ZZZZ
1270,ZZZZ,ZZZZ,barkhamsted_ct,ZZZZ
1271,ZZZZ,ZZZZ,easton_me,ZZZZ
1272,ZZZZ,ZZZZ,casco_me,ZZZZ
1273,ZZZZ,ZZZZ,clarksburg_ma,ZZZZ
1274,ZZZZ,ZZZZ,bath_me,ZZZZ
1275,ZZZZ,ZZZZ,new braintree_ma,ZZZZ
1276,ZZZZ,ZZZZ,ludlow_vt,ZZZZ
1277,ZZZZ,ZZZZ,sheldon_vt,ZZZZ
1278,ZZZZ,ZZZZ,lake view plt._me,ZZZZ
1279,ZZZZ,ZZZZ,pownal_vt,ZZZZ
1280,ZZZZ,ZZZZ,underhill_vt,ZZZZ
1281,ZZZZ,ZZZZ,east bridgewater_ma,ZZZZ
1282,ZZZZ,ZZZZ,west haven_vt,ZZZZ
1283,ZZZZ,ZZZZ,tyringham_ma,ZZZZ
1284,ZZZZ,ZZZZ,wakefield_nh,ZZZZ
1285,ZZZZ,ZZZZ,deerfield_nh,ZZZZ
1286,ZZZZ,ZZZZ,weston_vt,ZZZZ
1287,ZZZZ,ZZZZ,north providence_ri,ZZZZ
1288,ZZZZ,ZZZZ,lowell_me,ZZZZ
1289,ZZZZ,ZZZZ,stockbridge_vt,ZZZZ
1290,ZZZZ,ZZZZ,long island_me,ZZZZ
1291,ZZZZ,ZZZZ,sharon_ct,ZZZZ
1292,ZZZZ,ZZZZ,greenland_nh,ZZZZ
1293,ZZZZ,ZZZZ,van buren_me,ZZZZ
1294,ZZZZ,ZZZZ,norwalk_ct,ZZZZ
1295,ZZZZ,ZZZZ,mason_nh,ZZZZ
1296,ZZZZ,ZZZZ,salisbury_nh,ZZZZ
1297,ZZZZ,ZZZZ,hudson_me,ZZZZ
1298,ZZZZ,ZZZZ,monroe_ct,ZZZZ
1299,ZZZZ,ZZZZ,richmond_nh,ZZZZ
1300,ZZZZ,ZZZZ,starksboro_vt,ZZZZ
1301,ZZZZ,ZZZZ,woodford_vt,ZZZZ
1302,ZZZZ,ZZZZ,caswell_me,ZZZZ
1303,ZZZZ,ZZZZ,greenville_nh,ZZZZ
1304,ZZZZ,ZZZZ,orient_me,ZZZZ
1305,ZZZZ,ZZZZ,freedom_me,ZZZZ
1306,ZZZZ,ZZZZ,unity_me,ZZZZ
1307,ZZZZ,ZZZZ,easton_nh,ZZZZ
1308,ZZZZ,ZZZZ,branford_ct,ZZZZ
1309,ZZZZ,ZZZZ,berwick_me,ZZZZ
1310,ZZZZ,ZZZZ,beaver cove_me,ZZZZ
1311,ZZZZ,ZZZZ,ed 19_ak,ZZZZ
1312,ZZZZ,ZZZZ,mansfield_ct,ZZZZ
1313,ZZZZ,ZZZZ,norwell_ma,ZZZZ
1314,ZZZZ,ZZZZ,dayton_me,ZZZZ
1315,ZZZZ,ZZZZ,pembroke_nh,ZZZZ
1316,ZZZZ,ZZZZ,piermont_nh,ZZZZ
1317,ZZZZ,ZZZZ,ed 32_ak,ZZZZ
1318,ZZZZ,ZZZZ,boscawen_nh,ZZZZ
1319,ZZZZ,ZZZZ,weston_ma,ZZZZ
1320,ZZZZ,ZZZZ,durham_ct,ZZZZ
1321,ZZZZ,ZZZZ,jonesport_me,ZZZZ
1322,ZZZZ,ZZZZ,new vineyard_me,ZZZZ
1323,ZZZZ,ZZZZ,dublin_nh,ZZZZ
1324,ZZZZ,ZZZZ,hebron_nh,ZZZZ
1325,ZZZZ,ZZZZ,princeton_me,ZZZZ
1326,ZZZZ,ZZZZ,gorham_nh,ZZZZ
1327,ZZZZ,ZZZZ,thornton_nh,ZZZZ
1328,ZZZZ,ZZZZ,madawaska_me,ZZZZ
1329,ZZZZ,ZZZZ,topsham_me,ZZZZ
1330,ZZZZ,ZZZZ,shoreham_vt,ZZZZ
1331,ZZZZ,ZZZZ,houlton_me,ZZZZ
1332,ZZZZ,ZZZZ,mendon_ma,ZZZZ
1333,ZZZZ,ZZZZ,salisbury_ma,ZZZZ
1334,ZZZZ,ZZZZ,monroe_ma,ZZZZ
1335,ZZZZ,ZZZZ,lunenburg_vt,ZZZZ
1336,ZZZZ,ZZZZ,phillipston_ma,ZZZZ
1337,ZZZZ,ZZZZ,franconia_nh,ZZZZ
1338,ZZZZ,ZZZZ,northumberland_nh,ZZZZ
1339,ZZZZ,ZZZZ,searsburg_vt,ZZZZ
1340,ZZZZ,ZZZZ,canaan_ct,ZZZZ
1341,ZZZZ,ZZZZ,torrington_ct,ZZZZ
1342,ZZZZ,ZZZZ,sedgwick_me,ZZZZ
1343,ZZZZ,ZZZZ,hopkinton_ma,ZZZZ
1344,ZZZZ,ZZZZ,st. george_vt,ZZZZ
1345,ZZZZ,ZZZZ,somers_ct,ZZZZ
1346,ZZZZ,ZZZZ,hebron_ct,ZZZZ
1347,ZZZZ,ZZZZ,hersey_me,ZZZZ
1348,ZZZZ,ZZZZ,lyme_ct,ZZZZ
1349,ZZZZ,ZZZZ,woodstock_ct,ZZZZ
1350,ZZZZ,ZZZZ,weymouth_ma,ZZZZ
1351,ZZZZ,ZZZZ,athens_vt,ZZZZ
1352,ZZZZ,ZZZZ,west forks plt._me,ZZZZ
1353,ZZZZ,ZZZZ,waltham_ma,ZZZZ
1354,ZZZZ,ZZZZ,brewster_ma,ZZZZ
1355,ZZZZ,ZZZZ,baileyville_me,ZZZZ
1356,ZZZZ,ZZZZ,somersworth_nh,ZZZZ
1357,ZZZZ,ZZZZ,yarmouth_me,ZZZZ
1358,ZZZZ,ZZZZ,wardsboro_vt,ZZZZ
1359,ZZZZ,ZZZZ,everett_ma,ZZZZ
1360,ZZZZ,ZZZZ,provincetown_ma,ZZZZ
1361,ZZZZ,ZZZZ,cambridge_ma,ZZZZ
1362,ZZZZ,ZZZZ,dennis_ma,ZZZZ
1363,ZZZZ,ZZZZ,peacham_vt,ZZZZ
